index,gm_mean,wm_gm_mean
1.0,0.00719424460432,0.0
2.0,0.00359712230216,0.0
3.0,0.197841726619,0.0
4.0,12.5935251799,0.00359712230216
5.0,96.4568345324,0.0971223021583
6.0,500.395683453,0.431654676259
7.0,1282.78417266,7.76978417266
8.0,1914.73021583,84.5035971223
9.0,2242.87769784,312.784172662
10.0,2223.31294964,619.165467626
11.0,1941.81294964,1027.20503597
12.0,1345.74820144,1633.64748201
13.0,819.341726619,2354.82374101
14.0,479.982014388,2780.12230216
15.0,276.881294964,2658.28776978
16.0,147.327338129,2076.3381295
17.0,66.2661870504,1429.98561151
18.0,22.2230215827,495.136690647
19.0,5.76978417266,43.0107913669
