index,gm_mean,wm_gm_mean
1.0,0.10071942446,0.00359712230216
2.0,2.0035971223,0.068345323741
3.0,22.9064748201,0.341726618705
4.0,157.363309353,2.74460431655
5.0,597.341726619,26.5575539568
6.0,1404.68705036,144.248201439
7.0,2213.25539568,468.485611511
8.0,2534.38129496,1033.57553957
9.0,2295.61151079,1750.44244604
10.0,1664.01079137,2430.16546763
11.0,1088.10791367,2674.18705036
12.0,650.615107914,2424.55035971
13.0,375.525179856,1911.23021583
14.0,201.050359712,1339.55395683
15.0,100.575539568,794.607913669
16.0,44.8129496403,363.73381295
17.0,17.4712230216,122.841726619
18.0,5.97482014388,29.7661870504
19.0,2.91007194245,6.20863309353
